{'dataset_name': 'NCI1', 'seed': 777, 'num_workers': 1, 'cov_weight': -1.0, 'hyperparams': {'batch_size': 64, 'epochs': 901, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 4, 'hidden': 64, 'pooling': 'add', 'JK': 'last', 'nonlinear_conv': 'e4', 'dropout': 0.5, 'variants': {'BN': 'Y'}}, 'commit_id': 'bb95b1a8813c59d83babe87ddbda5038f12700fc', 'time_stamp': '1610281408', 'directory': '../../nlg_results/tu/board/'}
-------- FOLD0 DATASET=NCI1, COMMIT_ID=bb95b1a8813c59d83babe87ddbda5038f12700fc
Epoch: 048, Train Loss: -5.0743893, Train Acc: 0.8150852, Test Acc: 0.7956204, Train Cov: 5.5371351
Epoch: 049, Train Loss: -5.0928781, Train Acc: 0.8134631, Test Acc: 0.7761557, Train Cov: 5.5378060
Epoch: 050, Train Loss: -5.1047641, Train Acc: 0.8053528, Test Acc: 0.7834550, Train Cov: 5.5394311
Epoch: 051, Train Loss: -5.1130350, Train Acc: 0.8121114, Test Acc: 0.7907543, Train Cov: 5.5397277
Epoch: 052, Train Loss: -5.1224788, Train Acc: 0.8253582, Test Acc: 0.7761557, Train Cov: 5.5396919
Epoch: 053, Train Loss: -5.1176143, Train Acc: 0.8094079, Test Acc: 0.7639903, Train Cov: 5.5394526
Epoch: 054, Train Loss: -5.1205307, Train Acc: 0.8215734, Test Acc: 0.7712895, Train Cov: 5.5382271
Epoch: 055, Train Loss: -5.1261498, Train Acc: 0.8318464, Test Acc: 0.7712895, Train Cov: 5.5394731
Epoch: 056, Train Loss: -5.1369240, Train Acc: 0.8326575, Test Acc: 0.7907543, Train Cov: 5.5389590
Epoch: 057, Train Loss: -5.1448065, Train Acc: 0.8088673, Test Acc: 0.7347932, Train Cov: 5.5392747
Epoch: 058, Train Loss: -5.1521408, Train Acc: 0.7939984, Test Acc: 0.7469586, Train Cov: 5.5401211
Epoch: 059, Train Loss: -5.1481716, Train Acc: 0.8396864, Test Acc: 0.7858881, Train Cov: 5.5391521
Epoch: 060, Train Loss: -5.1423382, Train Acc: 0.8302244, Test Acc: 0.7323601, Train Cov: 5.5394778
Epoch: 061, Train Loss: -5.1331584, Train Acc: 0.8464450, Test Acc: 0.8029197, Train Cov: 5.5391965
Epoch: 062, Train Loss: -5.1539291, Train Acc: 0.8277913, Test Acc: 0.7883212, Train Cov: 5.5394583
Epoch: 063, Train Loss: -5.1535298, Train Acc: 0.7718302, Test Acc: 0.7445255, Train Cov: 5.5393958
Epoch: 064, Train Loss: -5.1522945, Train Acc: 0.8183293, Test Acc: 0.7737226, Train Cov: 5.5370698
Epoch: 065, Train Loss: -5.1649797, Train Acc: 0.8272506, Test Acc: 0.7785888, Train Cov: 5.5376101
Epoch: 066, Train Loss: -5.1659729, Train Acc: 0.8004866, Test Acc: 0.7688564, Train Cov: 5.5388308
Epoch: 067, Train Loss: -5.1792414, Train Acc: 0.7972425, Test Acc: 0.7420925, Train Cov: 5.5387688
Epoch: 068, Train Loss: -5.1717686, Train Acc: 0.8396864, Test Acc: 0.7688564, Train Cov: 5.5390096
Epoch: 069, Train Loss: -5.1679807, Train Acc: 0.8323871, Test Acc: 0.7785888, Train Cov: 5.5384188
Epoch: 070, Train Loss: -5.1616477, Train Acc: 0.8340092, Test Acc: 0.7810219, Train Cov: 5.5380182
Epoch: 071, Train Loss: -5.1647052, Train Acc: 0.8496891, Test Acc: 0.7980535, Train Cov: 5.5388141
Epoch: 072, Train Loss: -5.1680111, Train Acc: 0.8464450, Test Acc: 0.7834550, Train Cov: 5.5393853
Epoch: 073, Train Loss: -5.1759188, Train Acc: 0.8596918, Test Acc: 0.7810219, Train Cov: 5.5385089
Epoch: 074, Train Loss: -5.1824109, Train Acc: 0.8680725, Test Acc: 0.8004866, Train Cov: 5.5390096
Epoch: 075, Train Loss: -5.1847130, Train Acc: 0.8615842, Test Acc: 0.7907543, Train Cov: 5.5390310
Epoch: 076, Train Loss: -5.1842812, Train Acc: 0.8577994, Test Acc: 0.8004866, Train Cov: 5.5393476
Epoch: 077, Train Loss: -5.1996380, Train Acc: 0.8415788, Test Acc: 0.7883212, Train Cov: 5.5396113
Epoch: 078, Train Loss: -5.2045376, Train Acc: 0.8688835, Test Acc: 0.7688564, Train Cov: 5.5394144
Epoch: 079, Train Loss: -5.2051396, Train Acc: 0.8702352, Test Acc: 0.7980535, Train Cov: 5.5394487
Epoch: 080, Train Loss: -5.2126513, Train Acc: 0.8880779, Test Acc: 0.7834550, Train Cov: 5.5396171
Epoch: 081, Train Loss: -5.2203081, Train Acc: 0.8732090, Test Acc: 0.7883212, Train Cov: 5.5396070
Epoch: 082, Train Loss: -5.2144409, Train Acc: 0.8645580, Test Acc: 0.7688564, Train Cov: 5.5390363
Epoch: 083, Train Loss: -5.2245406, Train Acc: 0.8669911, Test Acc: 0.7615572, Train Cov: 5.5388331
Epoch: 084, Train Loss: -5.1783599, Train Acc: 0.8534739, Test Acc: 0.7858881, Train Cov: 5.5388274
Epoch: 085, Train Loss: -5.2046134, Train Acc: 0.8637470, Test Acc: 0.7907543, Train Cov: 5.5382609
Epoch: 086, Train Loss: -5.2167104, Train Acc: 0.8748310, Test Acc: 0.7566910, Train Cov: 5.5382223
Epoch: 087, Train Loss: -5.2205351, Train Acc: 0.8645580, Test Acc: 0.7907543, Train Cov: 5.5384483
Epoch: 088, Train Loss: -5.2297801, Train Acc: 0.8937551, Test Acc: 0.8199513, Train Cov: 5.5384216
Epoch: 089, Train Loss: -5.2193070, Train Acc: 0.8610435, Test Acc: 0.8053528, Train Cov: 5.5380397
Epoch: 090, Train Loss: -5.2384782, Train Acc: 0.8621249, Test Acc: 0.7834550, Train Cov: 5.5386791
Epoch: 091, Train Loss: -5.2320465, Train Acc: 0.8924034, Test Acc: 0.7907543, Train Cov: 5.5373330
Epoch: 092, Train Loss: -5.2420545, Train Acc: 0.9015950, Test Acc: 0.7931873, Train Cov: 5.5373435
Epoch: 093, Train Loss: -5.2469288, Train Acc: 0.8805082, Test Acc: 0.7883212, Train Cov: 5.5380130
Epoch: 094, Train Loss: -5.2425446, Train Acc: 0.8913220, Test Acc: 0.8199513, Train Cov: 5.5374031
Epoch: 095, Train Loss: -5.2470902, Train Acc: 0.9064612, Test Acc: 0.8053528, Train Cov: 5.5379806
Epoch: 096, Train Loss: -5.2646494, Train Acc: 0.8983509, Test Acc: 0.8102190, Train Cov: 5.5383453
Epoch: 097, Train Loss: -5.2669289, Train Acc: 0.9056502, Test Acc: 0.8077859, Train Cov: 5.5380745
Epoch: 098, Train Loss: -5.2850688, Train Acc: 0.9032171, Test Acc: 0.7956204, Train Cov: 5.5383615
Epoch: 099, Train Loss: -5.2799197, Train Acc: 0.8937551, Test Acc: 0.7761557, Train Cov: 5.5386920
Epoch: 100, Train Loss: -5.2594914, Train Acc: 0.8934847, Test Acc: 0.7931873, Train Cov: 5.5385337
Epoch: 101, Train Loss: -5.2962613, Train Acc: 0.9243039, Test Acc: 0.8102190, Train Cov: 5.5385590
Epoch: 102, Train Loss: -5.3017969, Train Acc: 0.9237632, Test Acc: 0.8126521, Train Cov: 5.5385790
Epoch: 103, Train Loss: -5.3143872, Train Acc: 0.9102460, Test Acc: 0.8077859, Train Cov: 5.5389457
Epoch: 104, Train Loss: -5.3175053, Train Acc: 0.9294404, Test Acc: 0.8199513, Train Cov: 5.5389915
Epoch: 105, Train Loss: -5.2975805, Train Acc: 0.9164639, Test Acc: 0.8150852, Train Cov: 5.5395188
Epoch: 106, Train Loss: -5.3148007, Train Acc: 0.9170046, Test Acc: 0.7980535, Train Cov: 5.5396109
Epoch: 107, Train Loss: -5.3311325, Train Acc: 0.9305218, Test Acc: 0.7810219, Train Cov: 5.5397987
Epoch: 108, Train Loss: -5.3280970, Train Acc: 0.9053798, Test Acc: 0.8077859, Train Cov: 5.5394940
Epoch: 109, Train Loss: -5.3081187, Train Acc: 0.9105164, Test Acc: 0.8126521, Train Cov: 5.5393434
Epoch: 110, Train Loss: -5.3137749, Train Acc: 0.9237632, Test Acc: 0.7907543, Train Cov: 5.5389953
