{'dataset_name': 'DD', 'seed': 666, 'num_workers': 1, 'cov_weight': 0.01, 'hyperparams': {'batch_size': 64, 'epochs': 2001, 'learning_rate': 0.001, 'step_size': 50, 'decay_rate': 0.75}, 'architecture': {'layers': 3, 'hidden': 128, 'pooling': 'S', 'JK': 'C', 'method': 'penalty', 'dropout': 0.5, 'exps': 1, 'nonlinear': 'Tanh', 'aggr': 'add', 'BN': 'Y'}, 'commit_id': 'fe658b2e3cd2ce58e21d252ab15a16540c263406', 'time_stamp': '1613745076', 'directory': '../../nlg_results/pca/board/'}
-------- FOLD0 DATASET=DD, COMMIT_ID=fe658b2e3cd2ce58e21d252ab15a16540c263406
Epoch: 001, Train Loss: 10.1068262, Train Acc: 0.6396226, Test Acc: 0.6016949, Train Cov: 1.7921484
Epoch: 002, Train Loss: 5.5610664, Train Acc: 0.5962264, Test Acc: 0.5508475, Train Cov: 1.4510227
Epoch: 003, Train Loss: 3.3585664, Train Acc: 0.6622642, Test Acc: 0.6355932, Train Cov: 1.3797162
Epoch: 004, Train Loss: 2.2669736, Train Acc: 0.7198113, Test Acc: 0.6694915, Train Cov: 1.3868649
Epoch: 005, Train Loss: 1.5707483, Train Acc: 0.7132075, Test Acc: 0.7118644, Train Cov: 1.4269937
Epoch: 006, Train Loss: 1.1677467, Train Acc: 0.6981132, Test Acc: 0.6694915, Train Cov: 1.4658779
Epoch: 007, Train Loss: 0.8848148, Train Acc: 0.7216981, Test Acc: 0.6864407, Train Cov: 1.5077330
Epoch: 008, Train Loss: 0.6836357, Train Acc: 0.7584906, Test Acc: 0.6355932, Train Cov: 1.5400301
Epoch: 009, Train Loss: 0.6014706, Train Acc: 0.7594340, Test Acc: 0.6864407, Train Cov: 1.5569063
Epoch: 010, Train Loss: 0.5683446, Train Acc: 0.6764151, Test Acc: 0.6186441, Train Cov: 1.5653732
Epoch: 011, Train Loss: 0.5377795, Train Acc: 0.7905660, Test Acc: 0.7118644, Train Cov: 1.5596073
Epoch: 012, Train Loss: 0.4920793, Train Acc: 0.8103774, Test Acc: 0.7711864, Train Cov: 1.5623000
Epoch: 013, Train Loss: 0.4683417, Train Acc: 0.8056604, Test Acc: 0.7118644, Train Cov: 1.5688373
Epoch: 014, Train Loss: 0.4443754, Train Acc: 0.8094340, Test Acc: 0.6610169, Train Cov: 1.5564973
Epoch: 015, Train Loss: 0.4218611, Train Acc: 0.8566038, Test Acc: 0.7457627, Train Cov: 1.5414703
Epoch: 016, Train Loss: 0.4291408, Train Acc: 0.8707547, Test Acc: 0.7627119, Train Cov: 1.5319983
Epoch: 017, Train Loss: 0.4067818, Train Acc: 0.8632075, Test Acc: 0.7627119, Train Cov: 1.5224915
Epoch: 018, Train Loss: 0.3843030, Train Acc: 0.8405660, Test Acc: 0.6949153, Train Cov: 1.5080774
Epoch: 019, Train Loss: 0.4093056, Train Acc: 0.7660377, Test Acc: 0.6610169, Train Cov: 1.4983225
Epoch: 020, Train Loss: 0.3856110, Train Acc: 0.7528302, Test Acc: 0.6949153, Train Cov: 1.4889482
Epoch: 021, Train Loss: 0.3986481, Train Acc: 0.8349057, Test Acc: 0.7288136, Train Cov: 1.4777907
Epoch: 022, Train Loss: 0.3663556, Train Acc: 0.8490566, Test Acc: 0.7796610, Train Cov: 1.4747065
Epoch: 023, Train Loss: 0.3383596, Train Acc: 0.8122642, Test Acc: 0.7118644, Train Cov: 1.4629617
Epoch: 024, Train Loss: 0.3636806, Train Acc: 0.8735849, Test Acc: 0.7627119, Train Cov: 1.4589897
Epoch: 025, Train Loss: 0.3404446, Train Acc: 0.8500000, Test Acc: 0.6864407, Train Cov: 1.4448825
Epoch: 026, Train Loss: 0.3239492, Train Acc: 0.8622642, Test Acc: 0.7542373, Train Cov: 1.4350717
Epoch: 027, Train Loss: 0.3324502, Train Acc: 0.8613208, Test Acc: 0.7457627, Train Cov: 1.4229869
Epoch: 028, Train Loss: 0.3167485, Train Acc: 0.8613208, Test Acc: 0.7288136, Train Cov: 1.4135479
Epoch: 029, Train Loss: 0.3100156, Train Acc: 0.9018868, Test Acc: 0.7542373, Train Cov: 1.4062414
Epoch: 030, Train Loss: 0.3188589, Train Acc: 0.8962264, Test Acc: 0.6864407, Train Cov: 1.3913386
Epoch: 031, Train Loss: 0.3213584, Train Acc: 0.8707547, Test Acc: 0.7118644, Train Cov: 1.3803530
Epoch: 032, Train Loss: 0.3114009, Train Acc: 0.8877358, Test Acc: 0.7203390, Train Cov: 1.3639406
Epoch: 033, Train Loss: 0.3011120, Train Acc: 0.9018868, Test Acc: 0.7372881, Train Cov: 1.3548615
Epoch: 034, Train Loss: 0.2770849, Train Acc: 0.7500000, Test Acc: 0.7372881, Train Cov: 1.3623146
Epoch: 035, Train Loss: 0.2989012, Train Acc: 0.8349057, Test Acc: 0.7118644, Train Cov: 1.3508965
Epoch: 036, Train Loss: 0.3148107, Train Acc: 0.8518868, Test Acc: 0.7118644, Train Cov: 1.3365704
Epoch: 037, Train Loss: 0.3098366, Train Acc: 0.8905660, Test Acc: 0.7288136, Train Cov: 1.3366203
Epoch: 038, Train Loss: 0.2969327, Train Acc: 0.8754717, Test Acc: 0.7288136, Train Cov: 1.3327864
Epoch: 039, Train Loss: 0.3205515, Train Acc: 0.8867925, Test Acc: 0.6779661, Train Cov: 1.3262438
Epoch: 040, Train Loss: 0.2873610, Train Acc: 0.8764151, Test Acc: 0.7118644, Train Cov: 1.3058684
Epoch: 041, Train Loss: 0.2966679, Train Acc: 0.7207547, Test Acc: 0.6440678, Train Cov: 1.3084391
Epoch: 042, Train Loss: 0.3079026, Train Acc: 0.8679245, Test Acc: 0.6949153, Train Cov: 1.2930692
Epoch: 043, Train Loss: 0.2833503, Train Acc: 0.7462264, Test Acc: 0.7118644, Train Cov: 1.2684752
Epoch: 044, Train Loss: 0.2640069, Train Acc: 0.8773585, Test Acc: 0.7203390, Train Cov: 1.2500672
Epoch: 045, Train Loss: 0.2714176, Train Acc: 0.8971698, Test Acc: 0.7542373, Train Cov: 1.2427804
Epoch: 046, Train Loss: 0.2771733, Train Acc: 0.9094340, Test Acc: 0.6525424, Train Cov: 1.2492790
Epoch: 047, Train Loss: 0.2798628, Train Acc: 0.9028302, Test Acc: 0.7457627, Train Cov: 1.2487200
Epoch: 048, Train Loss: 0.2676387, Train Acc: 0.8330189, Test Acc: 0.7203390, Train Cov: 1.2304088
Epoch: 049, Train Loss: 0.2596822, Train Acc: 0.9113208, Test Acc: 0.7288136, Train Cov: 1.2125459
Epoch: 050, Train Loss: 0.2638774, Train Acc: 0.7349057, Test Acc: 0.6186441, Train Cov: 1.1962606
Epoch: 051, Train Loss: 0.2360193, Train Acc: 0.9226415, Test Acc: 0.7796610, Train Cov: 1.1927798
Epoch: 052, Train Loss: 0.2269520, Train Acc: 0.9132075, Test Acc: 0.6949153, Train Cov: 1.1882704
Epoch: 053, Train Loss: 0.2396900, Train Acc: 0.5037736, Test Acc: 0.5338983, Train Cov: 1.1673312
Epoch: 054, Train Loss: 0.2659301, Train Acc: 0.9122642, Test Acc: 0.6779661, Train Cov: 1.1502115
Epoch: 055, Train Loss: 0.2728066, Train Acc: 0.8103774, Test Acc: 0.6271186, Train Cov: 1.1599065
Epoch: 056, Train Loss: 0.2208486, Train Acc: 0.8830189, Test Acc: 0.7372881, Train Cov: 1.1487720
Epoch: 057, Train Loss: 0.1807604, Train Acc: 0.9575472, Test Acc: 0.7203390, Train Cov: 1.1376323
Epoch: 058, Train Loss: 0.1903969, Train Acc: 0.9462264, Test Acc: 0.7203390, Train Cov: 1.1305908
Epoch: 059, Train Loss: 0.2089654, Train Acc: 0.7858491, Test Acc: 0.6440678, Train Cov: 1.1210806
Epoch: 060, Train Loss: 0.2101267, Train Acc: 0.8943396, Test Acc: 0.7033898, Train Cov: 1.1208144
Epoch: 061, Train Loss: 0.1800142, Train Acc: 0.9528302, Test Acc: 0.7203390, Train Cov: 1.1187211
Epoch: 062, Train Loss: 0.1751115, Train Acc: 0.8811321, Test Acc: 0.6271186, Train Cov: 1.1085283
Epoch: 063, Train Loss: 0.1923982, Train Acc: 0.9660377, Test Acc: 0.7118644, Train Cov: 1.0876645
Epoch: 064, Train Loss: 0.1814788, Train Acc: 0.9386792, Test Acc: 0.7542373, Train Cov: 1.0906502
Epoch: 065, Train Loss: 0.1785547, Train Acc: 0.9660377, Test Acc: 0.7288136, Train Cov: 1.0830688
Epoch: 066, Train Loss: 0.1646853, Train Acc: 0.9188679, Test Acc: 0.6694915, Train Cov: 1.0684164
Epoch: 067, Train Loss: 0.1657571, Train Acc: 0.9566038, Test Acc: 0.7203390, Train Cov: 1.0533028
Epoch: 068, Train Loss: 0.1684586, Train Acc: 0.9377358, Test Acc: 0.7796610, Train Cov: 1.0453354
Epoch: 069, Train Loss: 0.1663907, Train Acc: 0.9575472, Test Acc: 0.7033898, Train Cov: 1.0545617
Epoch: 070, Train Loss: 0.1521699, Train Acc: 0.9698113, Test Acc: 0.6949153, Train Cov: 1.0583588
Epoch: 071, Train Loss: 0.1623812, Train Acc: 0.9745283, Test Acc: 0.7203390, Train Cov: 1.0492451
Epoch: 072, Train Loss: 0.1675793, Train Acc: 0.8669811, Test Acc: 0.7372881, Train Cov: 1.0396292
Epoch: 073, Train Loss: 0.1746272, Train Acc: 0.9103774, Test Acc: 0.6949153, Train Cov: 1.0335287
Epoch: 074, Train Loss: 0.1641285, Train Acc: 0.9330189, Test Acc: 0.7033898, Train Cov: 1.0302249
Epoch: 075, Train Loss: 0.1631797, Train Acc: 0.9396226, Test Acc: 0.6949153, Train Cov: 1.0243033
Epoch: 076, Train Loss: 0.1521543, Train Acc: 0.9698113, Test Acc: 0.7288136, Train Cov: 1.0120965
Epoch: 077, Train Loss: 0.1683228, Train Acc: 0.9386792, Test Acc: 0.7372881, Train Cov: 1.0171623
Epoch: 078, Train Loss: 0.1838463, Train Acc: 0.9584906, Test Acc: 0.7457627, Train Cov: 0.9960721
Epoch: 079, Train Loss: 0.1725683, Train Acc: 0.9160377, Test Acc: 0.7372881, Train Cov: 0.9847128
