{'dataset_name': 'QM9', 'target': 3, 'model': 'NLG_R', 'seed': 777, 'hyperparams': {'batch_size': 64, 'epochs': 601, 'learning_rate': 0.0001, 'step_size': 30, 'decay_rate': 0.85}, 'architecture': {'layers': 8, 'hidden': 256, 'pooling': 'add', 'JK': 'last', 'nonlinear_conv': 'EB1', 'variants': {'BN': 'N', 'aggr_mlp': 1, 'fea_activation': 'ReLU'}}, 'commit_id': 'cab672852d2d21166fbfeaf0dfe3cd4182c48c31', 'time_stamp': '1596941012', 'directory': '../../nlg_results/titanv/QM9/board/'}
--------
QM9_3, 1596941012_cab6728_EB1_1_ReLU_8_256_N_0.0001_30_0.85_B64, ID=cab672852d2d21166fbfeaf0dfe3cd4182c48c31
Epoch: 001, LR: 0.000100, Loss: 0.1970344, Validation MAE: 0.0117396, Test MAE: 0.0117842
Epoch: 002, LR: 0.000100, Loss: 0.0867429, Validation MAE: 0.0085326, Test MAE: 0.0086921
Epoch: 003, LR: 0.000100, Loss: 0.0646138, Validation MAE: 0.0081726, Test MAE: 0.0082553
Epoch: 004, LR: 0.000100, Loss: 0.0554676, Validation MAE: 0.0078034, Test MAE: 0.0078745
Epoch: 005, LR: 0.000100, Loss: 0.0503979, Validation MAE: 0.0070619, Test MAE: 0.0070890
Epoch: 006, LR: 0.000100, Loss: 0.0473355, Validation MAE: 0.0069687, Test MAE: 0.0069726
Epoch: 007, 0.000100,0.0422115,0.0072004,0.0070859
Epoch: 008, LR: 0.000100, Loss: 0.0404514, Validation MAE: 0.0059612, Test MAE: 0.0059519
Epoch: 009, 0.000100,0.0367700,0.0063224,0.0063200
Epoch: 010, 0.000100,0.0355955,0.0060338,0.0060171
Epoch: 011, 0.000100,0.0327484,0.0060064,0.0059085
Epoch: 012, 0.000100,0.0318180,0.0061301,0.0060908
Epoch: 013, 0.000100,0.0306865,0.0060828,0.0061256
Epoch: 014, LR: 0.000100, Loss: 0.0279128, Validation MAE: 0.0055638, Test MAE: 0.0055564
Epoch: 015, LR: 0.000100, Loss: 0.0283499, Validation MAE: 0.0054009, Test MAE: 0.0053883
Epoch: 016, 0.000100,0.0257291,0.0056650,0.0055874
Epoch: 017, LR: 0.000100, Loss: 0.0248355, Validation MAE: 0.0052759, Test MAE: 0.0052087
Epoch: 018, 0.000100,0.0277016,0.0052997,0.0052588
Epoch: 019, LR: 0.000100, Loss: 0.0248253, Validation MAE: 0.0049500, Test MAE: 0.0049908
Epoch: 020, 0.000100,0.0219800,0.0054104,0.0053818
Epoch: 021, 0.000100,0.0221192,0.0061376,0.0061414
Epoch: 022, 0.000100,0.0225657,0.0049965,0.0049916
Epoch: 023, 0.000100,0.0208815,0.0050603,0.0050998
Epoch: 024, 0.000100,0.0210040,0.0050947,0.0051107
Epoch: 025, LR: 0.000100, Loss: 0.0201889, Validation MAE: 0.0046251, Test MAE: 0.0045828
Epoch: 026, 0.000100,0.0195818,0.0052314,0.0052032
Epoch: 027, LR: 0.000100, Loss: 0.0186127, Validation MAE: 0.0046229, Test MAE: 0.0046343
Epoch: 028, 0.000100,0.0195559,0.0053032,0.0051255
Epoch: 029, LR: 0.000100, Loss: 0.0186277, Validation MAE: 0.0045926, Test MAE: 0.0045636
Epoch: 030, 0.000100,0.0182836,0.0046046,0.0045889
Epoch: 031, 0.000085,0.0160504,0.0047898,0.0047416
Epoch: 032, 0.000085,0.0156931,0.0047217,0.0047267
Epoch: 033, LR: 0.000085, Loss: 0.0161805, Validation MAE: 0.0044816, Test MAE: 0.0044933
Epoch: 034, LR: 0.000085, Loss: 0.0149898, Validation MAE: 0.0044392, Test MAE: 0.0044865
Epoch: 035, LR: 0.000085, Loss: 0.0158013, Validation MAE: 0.0042265, Test MAE: 0.0042104
Epoch: 036, 0.000085,0.0148903,0.0043888,0.0044628
Epoch: 037, 0.000085,0.0140520,0.0042516,0.0042616
Epoch: 038, 0.000085,0.0140580,0.0043570,0.0043514
Epoch: 039, 0.000085,0.0135337,0.0043248,0.0042812
Epoch: 040, 0.000085,0.0134066,0.0042714,0.0042681
Epoch: 041, 0.000085,0.0138297,0.0042564,0.0042401
