{'dataset_name': 'QM9', 'target': 6, 'model': 'NLG_R', 'seed': 777, 'hyperparams': {'batch_size': 64, 'epochs': 601, 'learning_rate': 0.0001, 'step_size': 30, 'decay_rate': 0.85}, 'architecture': {'layers': 4, 'hidden': 256, 'pooling': 'add', 'JK': 'cat', 'nonlinear_conv': 'EB16', 'variants': {'BN': 'N', 'aggr_mlp': 1, 'fea_activation': 'ReLU'}}, 'commit_id': 'cab672852d2d21166fbfeaf0dfe3cd4182c48c31', 'time_stamp': '1599571320', 'directory': '../../nlg_results/titanv/QM9/board/'}
--------
QM9_6, 1599571320_cab6728_EB16_1_ReLU_4_256_N_0.0001_30_0.85_B64, ID=cab672852d2d21166fbfeaf0dfe3cd4182c48c31
Epoch: 001, LR: 0.000100, Loss: 0.0319412, Validation MAE: 0.0014136, Test MAE: 0.0014021
Epoch: 002, 0.000100,0.0061088,0.0018890,0.0018868
Epoch: 003, 0.000100,0.0043478,0.0017321,0.0017147
Epoch: 004, LR: 0.000100, Loss: 0.0036211, Validation MAE: 0.0010111, Test MAE: 0.0010052
Epoch: 005, LR: 0.000100, Loss: 0.0032093, Validation MAE: 0.0009580, Test MAE: 0.0009429
Epoch: 006, LR: 0.000100, Loss: 0.0025288, Validation MAE: 0.0009459, Test MAE: 0.0009446
Epoch: 007, 0.000100,0.0027270,0.0009465,0.0009441
Epoch: 008, 0.000100,0.0024765,0.0039890,0.0039875
Epoch: 009, LR: 0.000100, Loss: 0.0019151, Validation MAE: 0.0008631, Test MAE: 0.0008716
Epoch: 010, LR: 0.000100, Loss: 0.0019511, Validation MAE: 0.0007610, Test MAE: 0.0007565
Epoch: 011, 0.000100,0.0016996,0.0013286,0.0013176
Epoch: 012, 0.000100,0.0015143,0.0012736,0.0012751
Epoch: 013, 0.000100,0.0015325,0.0009473,0.0009431
Epoch: 014, LR: 0.000100, Loss: 0.0014346, Validation MAE: 0.0006916, Test MAE: 0.0006886
