{'dataset_name': 'QM9', 'target': 5, 'seed': 777, 'hyperparams': {'batch_size': 128, 'epochs': 601, 'learning_rate': 0.0001, 'step_size': 30, 'decay_rate': 0.85}, 'architecture': {'layers': 4, 'hidden': 256, 'pooling': 'add', 'JK': 'cat', 'nonlinear_conv': 'STB8', 'variants': {'BN': 'N', 'fea_activation': 'ReLU'}}, 'commit_id': '5f2ce89d4d0a5d4f37069f0bc8b86c8f22b8dffe', 'time_stamp': '1609850520', 'directory': '../../nlg_results/titanv/QM9/board/'}
--------
QM9_5, 1609850520_5f2ce89_STB8_ReLU_add_cat_4_256_N_0.0001_30_0.85_B128_S777, ID=5f2ce89d4d0a5d4f37069f0bc8b86c8f22b8dffe
Epoch: 001, LR: 0.000100, Loss: 0.2093851, Validation MAE: 73.5575699, Test MAE: 72.8440719, Cov: 0.5675262
Epoch: 002, 0.000100,0.0805769,104.9433805,105.6455841, 0.5428401
Epoch: 003, LR: 0.000100, Loss: 0.0618857, Validation MAE: 56.3397623, Test MAE: 55.6957910, Cov: 0.5427569
Epoch: 004, LR: 0.000100, Loss: 0.0528661, Validation MAE: 52.0263117, Test MAE: 50.9417498, Cov: 0.5342703
Epoch: 005, 0.000100,0.0469618,60.9502404,60.9042750, 0.5290837
Epoch: 006, LR: 0.000100, Loss: 0.0436273, Validation MAE: 48.9918327, Test MAE: 48.5392024, Cov: 0.5239802
Epoch: 007, LR: 0.000100, Loss: 0.0358623, Validation MAE: 42.4703963, Test MAE: 42.5179847, Cov: 0.5163263
Epoch: 008, 0.000100,0.0326321,46.2153455,46.1796561, 0.5146223
Epoch: 009, 0.000100,0.0303612,45.3983722,45.9241416, 0.5093699
Epoch: 010, LR: 0.000100, Loss: 0.0280676, Validation MAE: 38.5327643, Test MAE: 38.1528519, Cov: 0.5118127
Epoch: 011, 0.000100,0.0248502,45.5859328,46.0474728, 0.5073587
Epoch: 012, LR: 0.000100, Loss: 0.0236087, Validation MAE: 36.0502003, Test MAE: 36.2853894, Cov: 0.5000328
Epoch: 013, LR: 0.000100, Loss: 0.0220197, Validation MAE: 33.3302315, Test MAE: 33.1478244, Cov: 0.5027766
Epoch: 014, 0.000100,0.0208643,34.7657994,34.6893993, 0.4976412
Epoch: 015, LR: 0.000100, Loss: 0.0203142, Validation MAE: 32.6454450, Test MAE: 32.7830273, Cov: 0.5011236
Epoch: 016, 0.000100,0.0189210,51.3700268,50.6858369, 0.5000524
Epoch: 017, 0.000100,0.0181387,39.5568200,39.0555081, 0.4986960
Epoch: 018, LR: 0.000100, Loss: 0.0175643, Validation MAE: 31.2928806, Test MAE: 31.6720301, Cov: 0.4985082
Epoch: 019, 0.000100,0.0170136,41.8947856,41.6820687, 0.4966107
Epoch: 020, 0.000100,0.0159291,33.3192447,33.8058346, 0.4943287
Epoch: 021, 0.000100,0.0157143,31.9148874,32.7164884, 0.4988390
Epoch: 022, LR: 0.000100, Loss: 0.0146437, Validation MAE: 30.1188335, Test MAE: 30.5493764, Cov: 0.5015384
Epoch: 023, 0.000100,0.0241169,31.3784145,31.3666816, 0.5097695
Epoch: 024, LR: 0.000100, Loss: 0.0145860, Validation MAE: 28.1123257, Test MAE: 28.6957003, Cov: 0.5249026
Epoch: 025, 0.000100,0.0131229,30.7701890,30.9876810, 0.5203099
Epoch: 026, LR: 0.000100, Loss: 0.0134361, Validation MAE: 27.1975428, Test MAE: 27.7067656, Cov: 0.5149256
Epoch: 027, LR: 0.000100, Loss: 0.0132430, Validation MAE: 26.3967471, Test MAE: 26.6627954, Cov: 0.5152593
Epoch: 028, 0.000100,0.0133984,33.9113298,34.3997210, 0.5137680
Epoch: 029, 0.000100,0.0129925,33.9584520,34.4282691, 0.5126111
Epoch: 030, 0.000100,0.0121678,26.5106321,26.9836972, 0.5103327
Epoch: 031, LR: 0.000085, Loss: 0.0107131, Validation MAE: 26.2009331, Test MAE: 26.8512724, Cov: 0.5136152
Epoch: 032, LR: 0.000085, Loss: 0.0107842, Validation MAE: 24.7790129, Test MAE: 25.4055618, Cov: 0.5111661
Epoch: 033, 0.000085,0.0105714,24.8124448,25.3219495, 0.5107062
Epoch: 034, LR: 0.000085, Loss: 0.0107062, Validation MAE: 23.7284793, Test MAE: 24.5972676, Cov: 0.5138228
Epoch: 035, 0.000085,0.0101337,29.8909717,30.4618545, 0.5143734
Epoch: 036, 0.000085,0.0102804,28.7083672,29.4081031, 0.5156272
Epoch: 037, 0.000085,0.0099852,24.0999431,24.7353723, 0.5186634
