{'dataset_name': 'QM9', 'target': 5, 'seed': 777, 'hyperparams': {'batch_size': 128, 'epochs': 601, 'learning_rate': 0.0001, 'step_size': 30, 'decay_rate': 0.85}, 'architecture': {'layers': 4, 'hidden': 256, 'pooling': 'add', 'JK': 'cat', 'nonlinear_conv': 'NNB8', 'variants': {'BN': 'N', 'fea_activation': 'ReLU'}}, 'commit_id': '5f2ce89d4d0a5d4f37069f0bc8b86c8f22b8dffe', 'time_stamp': '1609850102', 'directory': '../../nlg_results/titanv/QM9/board/'}
--------
QM9_5, 1609850102_5f2ce89_NNB8_ReLU_add_cat_4_256_N_0.0001_30_0.85_B128_S777, ID=5f2ce89d4d0a5d4f37069f0bc8b86c8f22b8dffe
Epoch: 001, LR: 0.000100, Loss: 0.3692115, Validation MAE: 78.5330011, Test MAE: 77.5741704, Cov: 0.0000000
Epoch: 002, 0.000100,0.1489759,80.9015804,80.6530159, 0.0000000
Epoch: 003, LR: 0.000100, Loss: 0.1054635, Validation MAE: 54.6972691, Test MAE: 54.3848410, Cov: 0.0000000
Epoch: 004, LR: 0.000100, Loss: 0.1218449, Validation MAE: 54.1865023, Test MAE: 53.5101750, Cov: 0.0000000
Epoch: 005, 0.000100,0.0947499,56.0620599,55.9574631, 0.0000000
Epoch: 006, LR: 0.000100, Loss: 0.0804829, Validation MAE: 44.9221052, Test MAE: 45.0090482, Cov: 0.0000000
Epoch: 007, 0.000100,0.0726779,48.4049103,48.1876791, 0.0000000
Epoch: 008, LR: 0.000100, Loss: 0.0662237, Validation MAE: 42.6892466, Test MAE: 43.1972984, Cov: 0.0000000
Epoch: 009, 0.000100,0.0659019,60.7745074,61.1975383, 0.0000000
Epoch: 010, LR: 0.000100, Loss: 0.0584981, Validation MAE: 40.6690041, Test MAE: 40.3248275, Cov: 0.0000000
Epoch: 011, LR: 0.000100, Loss: 0.0534837, Validation MAE: 39.9576661, Test MAE: 40.2574438, Cov: 0.0000000
Epoch: 012, 0.000100,0.0498510,41.5212698,42.1955991, 0.0000000
Epoch: 013, LR: 0.000100, Loss: 0.0467805, Validation MAE: 34.5088234, Test MAE: 34.4385149, Cov: 0.0000000
Epoch: 014, LR: 0.000100, Loss: 0.0435534, Validation MAE: 34.0995404, Test MAE: 34.1979076, Cov: 0.0000000
Epoch: 015, 0.000100,0.0420438,35.7305177,35.5357766, 0.0000000
Epoch: 016, 0.000100,0.0394515,44.3671533,43.7067230, 0.0000000
Epoch: 017, 0.000100,0.0379787,37.8104241,37.4983922, 0.0000000
Epoch: 018, LR: 0.000100, Loss: 0.0357174, Validation MAE: 28.8012704, Test MAE: 28.8935574, Cov: 0.0000000
Epoch: 019, 0.000100,0.0355133,32.2295254,32.3830573, 0.0000000
Epoch: 020, 0.000100,0.0328444,29.5949483,29.7957298, 0.0000000
Epoch: 021, 0.000100,0.0328613,29.8135662,29.9879900, 0.0000000
Epoch: 022, 0.000100,0.0289454,33.3278148,33.8701319, 0.0000000
Epoch: 023, 0.000100,0.0308142,38.0920885,37.8542244, 0.0000000
Epoch: 024, 0.000100,0.0294650,31.5499167,32.0614525, 0.0000000
Epoch: 025, 0.000100,0.0270381,36.6837516,36.8385715, 0.0000000
Epoch: 026, LR: 0.000100, Loss: 0.0259626, Validation MAE: 25.8667475, Test MAE: 26.4129459, Cov: 0.0000000
Epoch: 027, 0.000100,0.0265689,26.9559767,27.1709503, 0.0000000
Epoch: 028, 0.000100,0.0248113,34.3339943,34.7655078, 0.0000000
Epoch: 029, 0.000100,0.0252168,35.6037079,35.5870115, 0.0000000
Epoch: 030, 0.000100,0.0228251,27.9843056,28.0969751, 0.0000000
Epoch: 031, LR: 0.000085, Loss: 0.0213077, Validation MAE: 25.2901247, Test MAE: 25.8425591, Cov: 0.0000000
Epoch: 032, 0.000085,0.0210921,25.5857927,25.9891737, 0.0000000
Epoch: 033, 0.000085,0.0213454,26.5237980,26.7919910, 0.0000000
