{'dataset_name': 'QM9', 'target': 2, 'model': 'NLG_R', 'seed': 777, 'hyperparams': {'batch_size': 64, 'epochs': 601, 'learning_rate': 0.0001, 'step_size': 30, 'decay_rate': 0.85}, 'architecture': {'layers': 5, 'hidden': 256, 'pooling': 'add', 'JK': 'cat', 'nonlinear_conv': 'EA1', 'variants': {'BN': 'N', 'fea_activation': 'ELU'}}, 'commit_id': 'b1e82dd32d1089453a2bcac386c86153ad3dd67b', 'time_stamp': '1601092396', 'directory': '../../nlg_results/titanv/QM9/board/'}
--------
QM9_2, 1601092396_b1e82dd_EA1_ELU_add_cat_5_256_N_0.0001_30_0.85_B64_S777, ID=b1e82dd32d1089453a2bcac386c86153ad3dd67b
Epoch: 001, LR: 0.000100, Loss: 0.3865449, Validation MAE: 0.0082965, Test MAE: 0.0083992
Epoch: 002, LR: 0.000100, Loss: 0.2606403, Validation MAE: 0.0074575, Test MAE: 0.0075355
Epoch: 003, 0.000100,0.2172816,0.0074883,0.0075894
Epoch: 004, LR: 0.000100, Loss: 0.1956741, Validation MAE: 0.0066547, Test MAE: 0.0066469
Epoch: 005, 0.000100,0.1773304,0.0066627,0.0066558
Epoch: 006, LR: 0.000100, Loss: 0.1631440, Validation MAE: 0.0064204, Test MAE: 0.0063778
Epoch: 007, LR: 0.000100, Loss: 0.1519332, Validation MAE: 0.0063513, Test MAE: 0.0063337
Epoch: 008, LR: 0.000100, Loss: 0.1434180, Validation MAE: 0.0057680, Test MAE: 0.0058047
Epoch: 009, 0.000100,0.1363361,0.0057705,0.0058138
Epoch: 010, LR: 0.000100, Loss: 0.1302965, Validation MAE: 0.0056483, Test MAE: 0.0056458
Epoch: 011, LR: 0.000100, Loss: 0.1222843, Validation MAE: 0.0054862, Test MAE: 0.0054491
Epoch: 012, LR: 0.000100, Loss: 0.1191556, Validation MAE: 0.0054061, Test MAE: 0.0054848
Epoch: 013, 0.000100,0.1138450,0.0057204,0.0058164
Epoch: 014, 0.000100,0.1101581,0.0054115,0.0054752
Epoch: 015, 0.000100,0.1086373,0.0054372,0.0054753
Epoch: 016, LR: 0.000100, Loss: 0.1016531, Validation MAE: 0.0051089, Test MAE: 0.0051241
Epoch: 017, LR: 0.000100, Loss: 0.0982989, Validation MAE: 0.0050280, Test MAE: 0.0051171
Epoch: 018, 0.000100,0.0969810,0.0050458,0.0050806
Epoch: 019, LR: 0.000100, Loss: 0.0933549, Validation MAE: 0.0049213, Test MAE: 0.0049555
Epoch: 020, LR: 0.000100, Loss: 0.0894601, Validation MAE: 0.0046953, Test MAE: 0.0047344
Epoch: 021, 0.000100,0.0869517,0.0047000,0.0047194
Epoch: 022, 0.000100,0.0844843,0.0049503,0.0049339
Epoch: 023, 0.000100,0.0824711,0.0047611,0.0047603
Epoch: 024, 0.000100,0.0800784,0.0046996,0.0047240
Epoch: 025, LR: 0.000100, Loss: 0.0779389, Validation MAE: 0.0045713, Test MAE: 0.0045794
Epoch: 026, LR: 0.000100, Loss: 0.0775323, Validation MAE: 0.0045229, Test MAE: 0.0045563
Epoch: 027, LR: 0.000100, Loss: 0.0743389, Validation MAE: 0.0044755, Test MAE: 0.0045278
Epoch: 028, 0.000100,0.0736045,0.0044945,0.0045445
Epoch: 029, LR: 0.000100, Loss: 0.0713000, Validation MAE: 0.0043336, Test MAE: 0.0043389
Epoch: 030, 0.000100,0.0699951,0.0044828,0.0045124
Epoch: 031, LR: 0.000085, Loss: 0.0647096, Validation MAE: 0.0042145, Test MAE: 0.0042470
Epoch: 032, 0.000085,0.0633462,0.0043314,0.0043568
Epoch: 033, 0.000085,0.0620735,0.0049042,0.0049777
Epoch: 034, LR: 0.000085, Loss: 0.0616837, Validation MAE: 0.0042100, Test MAE: 0.0042221
Epoch: 035, 0.000085,0.0594710,0.0043165,0.0043572
Epoch: 036, 0.000085,0.0585761,0.0042219,0.0042567
Epoch: 037, LR: 0.000085, Loss: 0.0577360, Validation MAE: 0.0040684, Test MAE: 0.0040658
Epoch: 038, 0.000085,0.0560160,0.0041784,0.0042222
Epoch: 039, 0.000085,0.0554973,0.0041326,0.0041821
Epoch: 040, LR: 0.000085, Loss: 0.0541712, Validation MAE: 0.0039768, Test MAE: 0.0040395
Epoch: 041, 0.000085,0.0530946,0.0040818,0.0041411
Epoch: 042, 0.000085,0.0522818,0.0040221,0.0040502
Epoch: 043, 0.000085,0.0514489,0.0039898,0.0040144
Epoch: 044, LR: 0.000085, Loss: 0.0503109, Validation MAE: 0.0039761, Test MAE: 0.0039687
Epoch: 045, LR: 0.000085, Loss: 0.0491512, Validation MAE: 0.0038939, Test MAE: 0.0039041
Epoch: 046, 0.000085,0.0488166,0.0039176,0.0039410
Epoch: 047, 0.000085,0.0479677,0.0039632,0.0039824
Epoch: 048, 0.000085,0.0471286,0.0040993,0.0041308
Epoch: 049, 0.000085,0.0459145,0.0038969,0.0039345
Epoch: 050, LR: 0.000085, Loss: 0.0451313, Validation MAE: 0.0038454, Test MAE: 0.0038727
Epoch: 051, LR: 0.000085, Loss: 0.0446371, Validation MAE: 0.0038237, Test MAE: 0.0038885
Epoch: 052, LR: 0.000085, Loss: 0.0435862, Validation MAE: 0.0037906, Test MAE: 0.0038443
Epoch: 053, 0.000085,0.0424956,0.0039461,0.0040060
Epoch: 054, LR: 0.000085, Loss: 0.0418073, Validation MAE: 0.0037589, Test MAE: 0.0038047
Epoch: 055, LR: 0.000085, Loss: 0.0410136, Validation MAE: 0.0037137, Test MAE: 0.0037573
Epoch: 056, 0.000085,0.0408044,0.0037405,0.0037907
Epoch: 057, 0.000085,0.0394879,0.0038388,0.0038970
Epoch: 058, 0.000085,0.0394770,0.0038747,0.0038815
Epoch: 059, 0.000085,0.0388360,0.0037689,0.0038109
Epoch: 060, LR: 0.000085, Loss: 0.0373566, Validation MAE: 0.0036498, Test MAE: 0.0036950
Epoch: 061, LR: 0.000072, Loss: 0.0342856, Validation MAE: 0.0035939, Test MAE: 0.0036240
Epoch: 062, 0.000072,0.0335102,0.0037037,0.0037174
Epoch: 063, 0.000072,0.0333119,0.0036393,0.0036855
Epoch: 064, 0.000072,0.0325147,0.0036433,0.0036717
Epoch: 065, 0.000072,0.0320495,0.0036502,0.0036539
Epoch: 066, 0.000072,0.0312301,0.0036814,0.0036912
Epoch: 067, LR: 0.000072, Loss: 0.0304738, Validation MAE: 0.0035545, Test MAE: 0.0035500
Epoch: 068, 0.000072,0.0304504,0.0036468,0.0036469
Epoch: 069, 0.000072,0.0295656,0.0036306,0.0036478
Epoch: 070, 0.000072,0.0288297,0.0036754,0.0036907
